fault,sensor,window,sample_range,n_runs,pct_change_mean_avg,pct_change_mean_std,pct_change_abs_avg,mean_direction,mean_direction_consistency,std_ratio_avg,std_ratio_std,variance_increase_rate
4,xmeas_9,full,160-960,10,0.0,0.0001,0.0001,mixed,0.5,0.9877,0.0227,0.4
4,xmv_10,early,160-260,10,9.1017,0.0074,9.1017,increase,1.0,1.2665,0.0822,1.0
4,xmv_10,late,300-960,10,9.1584,0.0037,9.1584,increase,1.0,0.9386,0.02,0.0
4,xmv_10,full,160-960,10,9.1514,0.0044,9.1514,increase,1.0,0.9826,0.0233,0.4
6,xmeas_1,early,160-260,10,-98.9779,0.1534,98.9779,decrease,1.0,0.8378,0.169,0.2
6,xmeas_1,late,300-960,10,-100.0,0.0,100.0,decrease,1.0,0.0,0.0,0.0
6,xmeas_1,full,160-960,10,-99.8715,0.0205,99.8715,decrease,1.0,0.2794,0.0518,0.0
6,xmeas_4,early,160-260,10,1.1638,0.0818,1.1638,increase,1.0,2.3798,0.3853,1.0
6,xmeas_4,late,300-960,10,3.084,0.904,3.084,increase,1.0,0.0,0.0,0.0
6,xmeas_4,full,160-960,10,2.8115,0.7618,2.8115,increase,1.0,1.1262,0.3014,0.6
6,xmeas_7,early,160-260,10,3.6282,0.0844,3.6282,increase,1.0,12.0587,4.6627,1.0
6,xmeas_7,late,300-960,10,10.9284,0.0333,10.9284,increase,1.0,0.0,0.0,0.0
6,xmeas_7,full,160-960,10,9.9693,0.0376,9.9693,increase,1.0,9.6619,1.3096,1.0
6,xmeas_9,early,160-260,10,-0.0023,0.0005,0.0023,decrease,1.0,1.1365,0.06,1.0
6,xmeas_9,late,300-960,10,0.009,0.0125,0.0123,increase,0.8,0.0,0.0,0.0
6,xmeas_9,full,160-960,10,0.0076,0.0106,0.0104,increase,0.8,0.5507,0.1206,0.0
7,xmeas_4,early,160-260,10,-0.7752,0.048,0.7752,decrease,1.0,7.2894,0.7476,1.0
7,xmeas_4,late,300-960,10,-0.0037,0.0099,0.0082,decrease,0.7,1.586,0.2119,1.0
7,xmeas_4,full,160-960,10,-0.0251,0.0084,0.0251,decrease,1.0,3.0859,0.2726,1.0
7,xmeas_6,early,160-260,10,-0.167,0.0033,0.167,decrease,1.0,2.2032,0.2118,1.0
7,xmeas_6,late,300-960,10,-0.0078,0.0009,0.0078,decrease,1.0,1.0517,0.0218,1.0
7,xmeas_6,full,160-960,10,-0.0043,0.0008,0.0043,decrease,1.0,1.2891,0.0467,1.0
7,xmeas_7,early,160-260,10,0.3568,0.0503,0.3568,increase,1.0,14.0472,5.0207,1.0
7,xmeas_7,late,300-960,10,0.0547,0.006,0.0547,increase,1.0,2.1385,0.4635,1.0
7,xmeas_7,full,160-960,10,0.0124,0.0092,0.0127,increase,0.9,4.8356,0.6865,1.0
7,xmeas_9,early,160-260,10,-0.0016,0.0004,0.0016,decrease,1.0,1.6464,0.0996,1.0
7,xmeas_9,late,300-960,10,-0.0002,0.0001,0.0002,decrease,1.0,1.0159,0.0088,1.0
7,xmeas_9,full,160-960,10,0.0,0.0001,0.0001,mixed,0.5,1.1229,0.0141,1.0
8,xmeas_1,early,160-260,10,-11.2139,37.8195,34.0654,decrease,0.6,3.8673,1.3585,1.0
8,xmeas_1,late,300-960,10,-7.56,15.9422,13.3287,mixed,0.5,5.966,1.218,1.0
8,xmeas_1,full,160-960,10,-6.1183,12.4117,10.5556,decrease,0.7,5.8727,1.0611,1.0
8,xmeas_4,early,160-260,10,0.242,1.3419,1.1633,increase,0.6,2.7471,0.7762,1.0
8,xmeas_4,late,300-960,10,0.034,0.5808,0.4432,decrease,0.6,4.684,0.9722,1.0
8,xmeas_4,full,160-960,10,-0.0079,0.4306,0.3076,decrease,0.7,4.505,0.8917,1.0
8,xmeas_7,early,160-260,10,-0.059,0.311,0.2319,decrease,0.6,5.8126,2.9548,1.0
8,xmeas_7,late,300-960,10,-0.2221,0.1728,0.2221,decrease,1.0,7.3775,1.859,1.0
8,xmeas_7,full,160-960,10,-0.2008,0.1592,0.2008,decrease,1.0,6.9801,1.6059,1.0
8,xmeas_9,early,160-260,10,-0.0005,0.0012,0.0011,decrease,0.7,1.0855,0.0499,1.0
8,xmeas_9,late,300-960,10,-0.0001,0.0002,0.0002,decrease,0.7,1.2457,0.0631,1.0
8,xmeas_9,full,160-960,10,-0.0001,0.0001,0.0001,decrease,0.6,1.2259,0.0582,1.0
11,xmeas_21,early,160-260,10,0.0006,0.0019,0.0015,increase,0.6,1.1317,0.0499,1.0
11,xmeas_21,late,300-960,10,0.0,0.0007,0.0005,increase,0.7,1.1028,0.0401,1.0
11,xmeas_21,full,160-960,10,0.0,0.0004,0.0003,decrease,0.6,1.1069,0.0407,1.0
11,xmeas_7,early,160-260,10,-0.0012,0.0022,0.002,decrease,0.7,1.0209,0.0285,0.8
11,xmeas_7,late,300-960,10,0.0001,0.0005,0.0003,mixed,0.5,1.0126,0.009,1.0
11,xmeas_7,full,160-960,10,0.0001,0.0003,0.0002,increase,0.7,1.0115,0.0068,0.9
11,xmeas_9,early,160-260,10,0.0003,0.0026,0.0021,mixed,0.5,4.3941,0.6946,1.0
11,xmeas_9,late,300-960,10,-0.0001,0.0007,0.0006,decrease,0.6,4.3447,0.239,1.0
11,xmeas_9,full,160-960,10,-0.0001,0.0004,0.0003,decrease,0.7,4.3687,0.1891,1.0
11,xmv_10,early,160-260,10,0.7107,1.4547,1.0801,mixed,0.5,6.5267,0.8228,1.0
11,xmv_10,late,300-960,10,1.2251,1.0979,1.2297,increase,0.9,6.499,0.4026,1.0
11,xmv_10,full,160-960,10,1.2076,1.001,1.2076,increase,1.0,6.5567,0.3885,1.0
12,xmeas_11,early,160-260,10,-0.1428,0.6667,0.5181,decrease,0.7,7.0826,1.6247,1.0
12,xmeas_11,late,300-960,10,-1.1613,1.7593,1.1613,decrease,1.0,10.8364,3.5525,1.0
12,xmeas_11,full,160-960,10,-0.9403,1.4599,0.9403,decrease,1.0,10.5589,3.5313,1.0
12,xmeas_12,early,160-260,10,-0.0276,0.0504,0.0486,decrease,0.6,1.0737,0.0598,0.9
12,xmeas_12,late,300-960,10,-0.1171,0.3734,0.1608,increase,0.6,1.0564,0.1492,0.8
12,xmeas_12,full,160-960,10,-0.0949,0.3051,0.1281,increase,0.8,1.065,0.1098,0.8
12,xmeas_13,early,160-260,10,0.213,0.6347,0.5317,increase,0.7,6.6086,2.6996,1.0
12,xmeas_13,late,300-960,10,1.5607,2.805,1.5607,increase,1.0,12.9821,5.1418,1.0
12,xmeas_13,full,160-960,10,1.2726,2.3116,1.2726,increase,1.0,12.3957,5.1531,1.0
12,xmeas_22,early,160-260,10,-0.0241,0.2938,0.2241,decrease,0.7,5.7,1.1267,1.0
12,xmeas_22,late,300-960,10,-0.155,0.2817,0.247,decrease,0.9,6.0874,1.0326,1.0
12,xmeas_22,full,160-960,10,-0.1227,0.2409,0.2022,decrease,0.9,6.0811,0.8411,1.0
13,xmeas_17,early,160-260,10,-0.084,0.2314,0.1832,increase,0.6,1.0079,0.009,0.9
13,xmeas_17,late,300-960,10,0.0348,0.0474,0.0475,increase,0.7,1.047,0.0158,1.0
13,xmeas_17,full,160-960,10,0.0097,0.0278,0.0247,increase,0.6,1.0442,0.0155,1.0
13,xmeas_6,early,160-260,10,-0.0297,0.0723,0.0602,decrease,0.6,1.0129,0.0235,0.5
13,xmeas_6,late,300-960,10,0.0057,0.048,0.0372,mixed,0.5,1.4168,0.2417,1.0
13,xmeas_6,full,160-960,10,-0.0025,0.0365,0.0291,decrease,0.6,1.3682,0.2226,1.0
13,xmeas_7,early,160-260,10,0.2968,1.403,1.1536,mixed,0.5,7.5859,4.8777,1.0
13,xmeas_7,late,300-960,10,0.0842,1.1525,0.9048,decrease,0.6,11.7388,2.2713,1.0
13,xmeas_7,full,160-960,10,0.1709,0.9938,0.7977,mixed,0.5,11.184,1.7277,1.0
13,xmeas_9,early,160-260,10,-0.0004,0.0008,0.0007,decrease,0.6,1.0508,0.0609,0.8
13,xmeas_9,late,300-960,10,-0.0001,0.0003,0.0002,decrease,0.6,1.2046,0.1229,1.0
13,xmeas_9,full,160-960,10,-0.0001,0.0001,0.0001,decrease,0.9,1.1803,0.1099,1.0
14,xmeas_21,early,160-260,10,-0.0002,0.0104,0.0089,increase,0.6,10.8206,0.878,1.0
14,xmeas_21,late,300-960,10,0.0016,0.0023,0.0025,increase,0.7,10.4378,0.3426,1.0
14,xmeas_21,full,160-960,10,0.0004,0.0021,0.0019,increase,0.6,10.4638,0.2815,1.0
14,xmeas_7,early,160-260,10,0.0,0.0003,0.0002,increase,0.7,1.0203,0.0138,1.0
14,xmeas_7,late,300-960,10,0.0003,0.0001,0.0003,increase,1.0,1.0143,0.004,1.0
14,xmeas_7,full,160-960,10,0.0003,0.0001,0.0003,increase,1.0,1.0134,0.0036,1.0
14,xmeas_9,early,160-260,10,-0.0001,0.0013,0.0011,decrease,0.6,13.7624,1.0579,1.0
14,xmeas_9,late,300-960,10,0.0,0.0005,0.0004,increase,0.6,13.4694,0.3069,1.0
14,xmeas_9,full,160-960,10,0.0001,0.0004,0.0003,mixed,0.5,13.4765,0.2848,1.0
